#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#BUILDINGS#;;;;;;;;;;;;;;
#Greenskins#;;;;;;;;;;;;;;
tb_black_crag;Black Crag;;;;;;;;;x
tb_black_crag_desc;Black Crag, or Karak Drazh in Khazalid, is the largest and most well known Greenskin stronghold in the world. When the Dwarfs still held the Black Crag, it provided a strong defensable position in the south of the Worlds Edge mountains, and was also a very rich hold. It would survive the Time of Woes, but would fall shortly after to Greenskins, turning the once great hold into a scar on the Dwarfs honor and history.;;;;;;;;;x
#Border Princedoms#;;;;;;;;;;;;;;
ca_khypris;Khypris;;;;;;;;;x
ca_khypris_desc;Khypris, the city of splendours, is a massive trade city located in the borderlands, once the capital of the grand Khyprote empire in ages past. While the empire is long gone from most human minds, the prestige and power of the city remained, and as such is considered the greatest city between Myrmidens and Akendorf.;;;;;;;;;x
ca_akendorf;Akendorf;;;;;;;;;x
ca_akendorf_desc;Akendorf, once the captial of a long lost Imperial borderlands Elector-County, is the center of all Imperial influence in the borderlands, straddeling the boundry of what the Imperials consider the 'civilized' world, it is a city that is constantly under threat. Not just from the Orks of the badlands, or Goblins from the mountains, but from the inummerable Beastman tribes that inhabit the foreboding Stygian Woods. Due to this, Akendorf is considered the weakest between Khypris and Myrmidens.;;;;;;;;;x
ca_myrmidens;Myrmidens;;;;;;;;;x
ca_myrmidens_desc;Myrmidens is the second largest city-state in the Borderlands, capital of the Aegean Principality, one of the sucessor states of the Myrmidan Empire. The days of Myrmidia's Empire are long gone, but the proud and civic traditions it left behind are still strong, reflected in Myrmidens' strong, yet elegant walls, designed to impress and intimidate would-be conquerors and foreign diplomats. Dealings with Dwarf holds have increased Myrmidens' importance not only as a trading hub, but also as a technological and military center, as both Human and Dwarf work closely with each other to stamp out the Greenskin threat to the south.;;;;;;;;;x
ca_mabuya;Mabuya;;;;;;;;;x
ct_mabuya;Mabuya;;;;;;;;;x
#Araby#
ca_al_haikk;Al-Haikk;;;;;;;;;x
