#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_von_saponatheim;von Saponatheim;;;;;;;;;;;;;x
b_van_onderzoeker;van Onderzoeker;;;;;;;;;;;;;x
b_koopmans;Koopmans;;;;;;;;;;;;;x
b_winkler;Winkler;;;;;;;;;;;;;x
b_vijfswinkel;Vijfswinkel;;;;;;;;;;;;;x
b_smeele;Smeele;;;;;;;;;;;;;x
b_van_de_kuypers;van de Kuypers;;;;;;;;;;;;;x
b_de_roelef;de Roelef;;;;;;;;;;;;;x
b_van_haagen;van Haagen;;;;;;;;;;;;;x
b_van_scheldt;van Scheldt;;;;;;;;;;;;;x
b_van_raemerswijk;van Raemerswijk;;;;;;;;;;;;;x
b_fooger;Fooger;;;;;;;;;;;;;x
b_van_den_nijmenk;van den Nijmenk;;;;;;;;;;;;;x
b_den_euwe;den Euwe;;;;;;;;;;;;;x
b_rothemuur;Rothemuur;;;;;;;;;;;;;x
b_schutzman;Schutzman;;;;;;;;;;;;;x
b_remi;Remi;;;;;;;;;;;;;x
b_von_schweinfass;von Schweinfass;;;;;;;;;;;;;x
b_kaimeister;Kaimeister;;;;;;;;;;;;;x
b_von_holzmarkt;von Holzmarkt;;;;;;;;;;;;;x
b_di_sorrento;di Sorrento;;;;;;;;;;;;;x
b_de_sica;de Sica;;;;;;;;;;;;;x
b_minnoli;Minnoli;;;;;;;;;;;;;x
b_garrani;Garrani;;;;;;;;;;;;;x
b_lanese;Lanese;;;;;;;;;;;;;x
b_riemanns;Riemanns;;;;;;;;;;;;;x
d_high_seat;High Seat;;;;;;;;;;;;;x
d_executioners;Executioners;;;;;;;;;;;;;x
d_tower_of_blessed_dread;Tower of Blessed Dread;;;;;;;;;;;;;x
d_university_of_remas;University of Remas;;;;;;;;;;;;;x
d_angazklad;Angazklad;;;;;;;;;;;;;x
d_akara;Akara;;;;;;;;;;;;;x
d_akheten;Akheten;;;;;;;;;;;;;x
d_aklands_death_commandos;Death Commandos;;;;;;;;;;;;;x
d_al_anaim;Al-Anaim;;;;;;;;;;;;;x
d_al_sahra;Al-Sahra;;;;;;;;;;;;;x
d_alcatani_fellowship;Alcatani Fellowship;;;;;;;;;;;;;x
d_aldente;Aldente;;;;;;;;;;;;;x
d_alemoges;Alemôges;;;;;;;;;;;;;x
d_alhaka;Alhaka;;;;;;;;;;;;;x
d_altaya;Altaya;;;;;;;;;;;;;x
d_altdorf_blackbolts;Altdorf Blackbolts;;;;;;;;;;;;;x
d_altdorf;Altdorf;;;;;;;;;;;;;x
d_altdorfer_adj;Altdorfer;;;;;;;;;;;;;x
d_ambacht;Ambacht;;;;;;;;;;;;;x
d_ancon;Ançon;;;;;;;;;;;;;x
d_angerrial;Angerrial;;;;;;;;;;;;;x
d_anksary;Anksary;;;;;;;;;;;;;x
d_anlec;Anlec;;;;;;;;;;;;;x
d_anroc;Anroc;;;;;;;;;;;;;x
d_aponnia;Aponnia;;;;;;;;;;;;;x
d_aquitaine_adj;Aquitanian;;;;;;;;;;;;;x
d_aquitaine;Aquitaine;;;;;;;;;;;;;x
d_araby_adventurers;Araby Adventurers;;;;;;;;;;;;;x
d_arali;Arali;;;;;;;;;;;;;x
d_arch_lectory_nuln;Arch Lectory of Nuln;;;;;;;;;;;;;x
d_arch_lectory_talabheim;Arch Lectory of Talabheim;;;;;;;;;;;;;x
d_ardan;Ardan;;;;;;;;;;;;;x
d_arden;Arden;;;;;;;;;;;;;x
d_armagne;Armagne;;;;;;;;;;;;;x
d_armorique;Armorique;;;;;;;;;;;;;x
d_arnhelm_forest;Arnhelm Forest;;;;;;;;;;;;;x
d_arnhelm;Arnhelm;;;;;;;;;;;;;x
d_arsuai;Arsuai;;;;;;;;;;;;;x
d_artois_adj;Artoin;;;;;;;;;;;;;x
d_artois;Artois;;;;;;;;;;;;;x
d_ashen_vale;Ashen Vale;;;;;;;;;;;;;x
d_ashfall;Ashfall;;;;;;;;;;;;;x
d_assyr;Assyr;;;;;;;;;;;;;x
d_astiano;Astiano;;;;;;;;;;;;;x
d_asuryan_march;Asuryan March;;;;;;;;;;;;;x
d_atarwoud;Atarwoud;;;;;;;;;;;;;x
d_auerswald;Auerswald;;;;;;;;;;;;;x
d_auld_styrland;Auld Styrland;;;;;;;;;;;;;x
d_ausanne;Ausanne;;;;;;;;;;;;;x
d_avelorn_march;Avelorn March;;;;;;;;;;;;;x
d_aver_march;Aver March;;;;;;;;;;;;;x
d_averheim_adj;Averheimer;;;;;;;;;;;;;x
d_averheim;Averheim;;;;;;;;;;;;;x
d_azarna;Azarna;;;;;;;;;;;;;x
d_azgarazar;Azgarazar;;;;;;;;;;;;;x
d_azgorh;Azgorh;;;;;;;;;;;;;x
d_baartak;Baartak;;;;;;;;;;;;;x
d_badlands_company;Badlands Company;;;;;;;;;;;;;x
d_bakail;Bakail;;;;;;;;;;;;;x
d_barak_varr;Barak Varr;;;;;;;;;;;;;x
d_barboza_lancers;Barboza Lancers;;;;;;;;;;;;;x
d_barduila;Barduila;;;;;;;;;;;;;x
d_barodrin;Barodrin;;;;;;;;;;;;;x
d_bastonne_adj;Bastonnian;;;;;;;;;;;;;x
d_bastonne;Bastonne;;;;;;;;;;;;;x
d_battle_chariots_of_bogdan;Battle Chariots;;;;;;;;;;;;;x
d_bearmen_of_ursulo;Bearmen of Ursulo;;;;;;;;;;;;;x
d_beastbloods;Beastbloods;;;;;;;;;;;;;x
d_bebrikia;Bebrikia;;;;;;;;;;;;;x
d_bechafen;Bechafen;;;;;;;;;;;;;x
d_bergrisi;Bergrisi;;;;;;;;;;;;;x
d_bhagar;Bhagar;;;;;;;;;;;;;x
d_bilbali;Bilbali;;;;;;;;;;;;;x
d_birdmen_of_catrazza;Birdmen of Catrazza;;;;;;;;;;;;;x
d_bjorn;Bjorn;;;;;;;;;;;;;x
d_black_fire_defenders;Black Fire Defenders;;;;;;;;;;;;;x
d_black_fortress;Black Fortress;;;;;;;;;;;;;x
d_black_gulf_guard_company;Black Gulf Guard Company;;;;;;;;;;;;;x
d_black_mountain_boys;Black Mountain Boys;;;;;;;;;;;;;x
d_black_sisters;Black Sisters;;;;;;;;;;;;;x
d_blackswale;Blackswale;;;;;;;;;;;;;x
d_blackwater_raiders;Blackwater Raiders;;;;;;;;;;;;;x
d_blackwater;Blackwater;;;;;;;;;;;;;x
d_blades_of_valour;Blades of Valour;;;;;;;;;;;;;x
d_bleak_coast;Bleak Coast;;;;;;;;;;;;;x
d_blitzfelsen;Blitzfelsen;;;;;;;;;;;;;x
d_blodhfell;Blóðfell;;;;;;;;;;;;;x
d_blodig;Blodig;;;;;;;;;;;;;x
