#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aaargh;Aaargh;Aaargh;Aaargh;;Aaargh;;;;;;;;;x
b_aaargh_adj;Aaarghian;;aaargher;;;;;;;;;;;x
b_aakadaan;Aakadaan;Aakadaan;Aakadaan;;Aakadaan;;;;;;;;;x
b_aakadaan_adj;Aakadaanian;;aakadaaner;;;;;;;;;;;x
b_aakon;Aakon;Aakon;Aakon;;Aakon;;;;;;;;;x
b_aakon_adj;Aakonian;;aakoner;;;;;;;;;;;x
b_aangar;Aangar;Aangar;Aangar;;Aangar;;;;;;;;;x
b_aangar_adj;Aangarian;;aangarer;;;;;;;;;;;x
b_aarborn;Aarborn;Aarborn;Aarborn;;Aarborn;;;;;;;;;x
b_aarborn_adj;Aarbornian;;aarborner;;;;;;;;;;;x
b_aarlunda;Aarlunda;Aarlunda;Aarlunda;;Aarlunda;;;;;;;;;x
b_aarlunda_adj;Aarlundan;;aarlunder;;;;;;;;;;;x
b_aarnau;Aarnau;Aarnau;Aarnau;;Aarnau;;;;;;;;;x
b_aarnau_adj;Aarnian;;aarner;;;;;;;;;;;x
b_aarschot;Aarschot;Aarschot;Aarschot;;Aarschot;;;;;;;;;x
b_aarschot_adj;Aarschotian;;aarschoter;;;;;;;;;;;x
b_aarstrup;Aarstrup;Aarstrup;Aarstrup;;Aarstrup;;;;;;;;;x
b_aarstrup_adj;Aarstrupian;;aarstruper;;;;;;;;;;;x
b_aarvik;Aarvik;Aarvik;Aarvik;;Aarvik;;;;;;;;;x
b_aarvik_adj;Aarvikian;;aarviker;;;;;;;;;;;x
b_aathenor;Aathenor;Aathenor;Aathenor;;Aathenor;;;;;;;;;x
b_aathenor_adj;Aathenorian;;aathenorer;;;;;;;;;;;x
b_aaznagz;Aaznagz;Aaznagz;Aaznagz;;Aaznagz;;;;;;;;;x
b_aaznagz_adj;Aaznagzian;;aaznagzer;;;;;;;;;;;x
b_abah;Abah;Abah;Abah;;Abah;;;;;;;;;x
b_abah_adj;Abahian;;abaher;;;;;;;;;;;x
b_abahaq;Abahaq;Abahaq;Abahaq;;Abahaq;;;;;;;;;x
b_abahaq_adj;Abahaqian;;abahaqer;;;;;;;;;;;x
b_abaharr;Abaharr;Abaharr;Abaharr;;Abaharr;;;;;;;;;x
b_abaharr_adj;Abaharrian;;abaharrer;;;;;;;;;;;x
b_abak;Abak;Abak;Abak;;Abak;;;;;;;;;x
b_abak_adj;Abakian;;abaker;;;;;;;;;;;x
b_abam;Abam;Abam;Abam;;Abam;;;;;;;;;x
b_abam_adj;Abamian;;abamer;;;;;;;;;;;x
b_aban;Aban;Aban;Aban;;Aban;;;;;;;;;x
b_aban_adj;Abanian;;abaner;;;;;;;;;;;x
b_abani;Abani;Abani;Abani;;Abani;;;;;;;;;x
b_abani_adj;Abanian;;abaner;;;;;;;;;;;x
